name,street_address,city,state_abbr,zip,phone_no,status,expected_date,access,network,latitude,longitude,id_number,owner,fed_agency_type,fed_agency_name,open_date,ev_connector_types
Grafton Inn - Tesla,92 Main St,Grafton,VT,5146,802-843-2231  877-798-3752,E,,Public,Tesla,43.1724777,-72.6091448,74761,P,,,4/1/16,TESLA
VLS,29 Cameron Way,South Royalton,VT,5068,888-758-4389,E,,Public,ChargePoint Network,43.8225181,-72.5207159,63021,,,,,J1772
4 Park Plaza #3,4  Park Plaza,Irvine,CA,92614,888-998-2546,E,,Public,GE WattStation,33.67788535,-117.8368934,72711,,,,,J1772
"Walgreens - Grayson, GA #7546",2075 Grayson Highway,Grayson,GA,30017,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,33.893968,-83.957199,71578,,,,,J1772
Klaben Ford Lincoln,1089 W Main St,Kent,OH,44240,800-686-3139,E,,Private,,41.151759,-81.380359,52035,P,,,4/1/13,J1772
Patagonia,259 W. Santa Clara St.,Ventura,CA,93001,888-998-2546,E,,Public,Blink Network,34.280124,-119.304104,47648,,,,,J1772
Nissan of Clinton,412 Southeast Blvd,Clinton,NC,28328,910-590-2005,E,,Private,,34.999456,-78.309597,49875,P,,,10/25/12,J1772
Vittengl Ford,11125 State Route 22,Comstock,NY,12821,518-639-5542,E,,Public,,43.4562837,-73.3777279,53894,P,,,4/1/13,J1772
HILLS. COUNTY,3629 Queen Palm Dr,Brandon,FL,33619,888-758-4389,E,,Public,ChargePoint Network,27.9751401,-82.3360366,43121,,,,,NEMA520 J1772
WHOLE FOODS MKT,300 n broad st,New Orleans,LA,70119,888-758-4389,E,,Public,ChargePoint Network,29.9670769,-90.0844812,60346,,,,,NEMA520 J1772
Leo Kaytes Ford,145 Route 94 S,Warwick,NY,10990,845-986-1131,E,,Public - Call ahead,,41.237439,-74.3804669,63618,P,,,9/1/14,J1772
Hudson Nissan,7331 Rivers Ave,North Charleston,SC,29406,843-553-1000,E,,Public - Call ahead,,32.9346377,-80.0385718,47088,P,,,1/31/12,J1772
PLUGNEVERYWHERE,984 Grove Blvd,Austin,TX,78741,888-758-4389,E,,Public,ChargePoint Network,30.2368603,-97.7038803,56626,,,,,NEMA520 J1772
Krieger Ford,1800 Morse Rd,Columbus,OH,43229,,E,,Private,,40.0613465,-82.969876,51693,P,,,2/1/13,J1772
BMW WESTCHER,525 Tarrytown Rd,White Plains,NY,10607,888-758-4389,E,,Public,ChargePoint Network,41.0433142,-73.8022554,62863,,,,,J1772
El Dorado County Government Center,330 Fair Ln,Placerville,CA,95667,530-621-7501,E,,Public,,38.7276071,-120.8264158,68153,LG,,,4/1/15,J1772
KCP&L,13600 Alden St @ Walmart #577,Olathe,KS,66062,888-758-4389,E,,Public,ChargePoint Network,38.8817416,-94.7565091,70714,,,,,J1772
Alabama Power - Oak Grove,38001 US Highway 280,Oak Grove,AL,35150,,E,,Private,,33.2124094,-86.3120599,68129,T,,,4/1/15,J1772
Auburn University - Stadium Parking Deck,425 Heisman Drive,Auburn,AL,36849,888-998-2546,E,,Public,Blink Network,32.569514,-85.347427,71463,,,,,J1772
Kwik Star #294,1650 W Kimberly Rd,Davenport,IA,52806,563-386-8407,E,,Public,,41.560308,-90.599092,71648,P,,,7/23/15,NEMA520
Townsend Nissan,2620 Skyland Blvd E,Tuscaloosa,AL,35405,205-561-3993,E,,Private,,33.170134,-87.503046,49969,P,,,10/25/12,J1772
PDC 12 V and T zone (QR 2000274) ,20903  Oakwood Blvd,Dearborn,MI,48124,888-998-2546,E,,Private,GE WattStation,42.30039193,-83.23617306,72994,,,,,J1772
PASCO COUNTY,38425 McDonald St,Dade City,FL,33525,888-758-4389,E,,Public,ChargePoint Network,28.3374397,-82.1823695,62803,,,,,NEMA520 J1772
Morning Star Properties,710 N Echols Ave,Tucson,AZ,85705,888-998-2546,E,,Public,Blink Network,32.13842,-110.58245,73210,,,,,J1772
Los Angeles Department of Public Works - Longden Flood Maintenance Yard,160 E Longden Ave,Irwindale,CA,91706,,T,,TEMPORARILY UNAVAILABLE (Private - Government only),,34.112343,-118.003139,21616,LG,,,,
Fred Meyer - Tesla,2811 W 10th Ave,Kennewick,WA,99336,877-798-3752,E,,Public,Tesla,46.1970777,-119.1615292,70303,P,,,8/1/15,TESLA
Nissan of Oakland,2735 Broadway,Oakland,CA,94611,510-588-2200,E,,Public - Call ahead,,37.820419,-122.261344,46741,P,,,1/31/12,J1772 CHADEMO
MP GARDEN LLC,1214 Fifth Avenue,New York,NY,10029,888-758-4389,E,,Public,ChargePoint Network,40.7912673,-73.9520388,58234,,,,,J1772
Hampton Alb Airport 2,45  British American Blvd,Latham,NY,12110,888-998-2546,E,,Private,GE WattStation,42.76828,-73.8207,72887,,,,,J1772
Motorville Nissan,5515 Racetrack Rd,Sheboygan,WI,53081,920-457-8844,E,,Public - Call ahead,,43.693157,-87.757829,47903,P,,,1/31/12,J1772
Westin Hotel - Tesla,750 SW Alder St,Portland,OR,97205,503-294-9000  877-798-3752,E,,Public - Call ahead,Tesla,45.5201134,-122.6800882,67271,P,,,12/1/14,TESLA
FACEBOOK,1 Hacker Way Building 16,Menlo Park,CA,94025,888-758-4389,E,,Public,ChargePoint Network,37.4859723,-122.1487916,70726,,,,,J1772
Silver Fox Steakhouse - Tesla,1303 Legacy Dr,Frisco,TX,75034,214-618-5220  877-798-3752,E,,Public,Tesla,33.0886952,-96.839887,68528,P,,,3/1/15,TESLA
Nissan of Norwich,691 W Thames St,Norwich,CT,6360,860-892-6000,E,,Public,,41.501415,-72.0951712,50005,P,,,9/23/14,J1772
ATA HOUSING,249 Thomas S Boyland St,Brooklyn,NY,11233,888-758-4389,E,,Public,ChargePoint Network,40.675072,-73.9131319,57799,,,,,J1772
Fry's Store #54 Scottsdale,4842 E. Bell Rd.,Scottsdale,AZ,85254,888-998-2546,E,,Public,Blink Network,33.640675,-111.975666,52080,,,,,J1772
12610 Auto Mall Circle,12610 Auto Mall Circle,Folsom,CA,95630,877-455-3833,E,,Public - Card key at all times,eVgo Network,38.63408661,-121.2049103,69484,,,,,CHADEMO
Libertyville Mitsubishi,1119 S Milwaukee Ave,Libertyville,IL,60048,847-816-6660,E,,Public,,42.267595,-87.950818,50467,P,,,12/15/12,J1772
SERVICEBLDG1,3855 Alamo St,Simi Valley,CA,93063,888-758-4389,E,,Public,ChargePoint Network,34.288071,-118.7226793,69857,,,,,J1772
Florida Power & Light - Jupiter Service Center,100 S Delaware Blvd,Jupiter,FL,33458,,E,,Private,,26.932602,-80.118594,41099,T,,,9/1/11,J1772
Cutter Aviation Albuquerque - Tesla,2502 Clark Carr Loop SE,Albuquerque,NM,87106,505-842-4184  877-798-3752,E,,Public,Tesla,35.0386257,-106.618685,72302,P,,,9/1/15,TESLA
Luxury Auto Works - Tesla,8300 N Lamar Blvd,Austin,TX,78753,512-740-6983  877-798-3752,E,,Public,Tesla,30.3525241,-97.7091052,68519,P,,,5/1/15,TESLA
,13845 W Oasis Service Road,Mettawa,IL,60045,877-455-3833,E,,Public - Card key at all times,eVgo Network,42.25358963,-87.90260315,69443,,,,,CHADEMO
JEA Parking Garage,421 N Laura St,Jacksonville,FL,32202,,E,,Private,,30.329992,-81.657888,64890,T,,,11/1/14,J1772
CITY SANANTONIO,9800 Airport Blvd,San Antonio,TX,78216,888-758-4389,E,,Public,ChargePoint Network,29.5255355,-98.4755255,36272,,,,,NEMA520 J1772
"Walgreens - Grants Pass, OR #7373",111 Union Ave,Grants Pass,OR,97527,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,42.422056,-123.332975,72035,,,,,J1772
TACARA WESTOVER,1354 Thorpe Ln,San Marcos,TX,78666,888-758-4389,E,,Public,ChargePoint Network,29.8886662,-97.9178439,69038,,,,,J1772
Orangeburg Nissan,2827 Saint Matthews Rd NE,Orangeburg,SC,29118,803-534-5251,E,,Public - Call ahead,,33.538342,-80.834906,47090,P,,,1/31/12,J1772
SAT PLACE 300,3237 Satellite Blvd,Duluth,GA,30096,888-758-4389,E,,Public,ChargePoint Network,33.9630056,-84.1214691,72592,,,,,J1772
Joseph Decuis Farmstead - Tesla,6756 E 900 St,Columbia City,IN,46725,260-672-1715  877-798-3752,E,,Public,Tesla,41.034584,-85.359902,72103,P,,,12/1/15,TESLA
Holiday Inn,129 Pehle Ave,Saddle Brook,NJ,7663,201-299-3984,E,,Public,Greenlots,40.907386,-74.097619,62288,P,,,6/1/14,CHADEMO
TinkerMill Longmont Makerspace,1840 Delaware Pl,Longmont,CO,80501,850-980-4355,E,,Public,,40.1556111,-105.1243952,63245,P,,,8/1/14,J1772
CAMPUS,6331 Sprint Pkwy Garage N,Overland Park,KS,66251,888-758-4389,E,,Public,ChargePoint Network,38.9144047,-94.6614697,63835,,,,,J1772
Fresh & Easy Sunnyvale,1180 N Fair Oaks Ave,Sunnyvale,CA,94089,877-455-3833,E,,Public - Card key at all times,eVgo Network,37.40335846,-122.0093613,69523,,,,,J1772COMBO
Enterprise Rent-A-Car,500 Aviation Pkwy,Greer,SC,29651,,E,,Private,,34.8847557,-82.215642,46459,P,,,2/15/12,J1772
CITY OF ST PAUL,175 Kellogg Blvd W,St Paul,MN,55102,888-758-4389,E,,Public,ChargePoint Network,44.9445809,-93.1002753,40055,,,,,NEMA520 J1772
GE WattStation #2,425  1st St,SF,CA,94105,888-998-2546,E,,Private,GE WattStation,37.7860651,-122.392618,72799,,,,,J1772
San Diego County Public Health Department,3851 Rosecrans St,San Diego,CA,92110,858-694-3900  619-692-8078,P,3/15/16,PLANNED - not yet accessible (Public),,32.752695,-117.201933,72358,LG,,,,J1772
MP 225 LLC,225 Rector Pl,New York,NY,10280,888-758-4389,E,,Public,ChargePoint Network,40.7092248,-74.0161545,52290,,,,,J1772
PLUGNEVERYWHERE,263-299 San Antonio St,Austin,TX,78701,888-758-4389,E,,Public,ChargePoint Network,30.2659988,-97.7483754,68765,,,,,NEMA520 J1772
101 ELLSWORTH,101 S Ellsworth Ave,San Mateo,CA,94401,888-758-4389,E,,Public,ChargePoint Network,37.5664104,-122.3242515,43494,,,,,J1772
BCC PARAMUS NJ,Odabash Way,Paramus,NJ,7652,888-758-4389,E,,Public,ChargePoint Network,40.9500961,-74.0917053,40365,,,,,NEMA520 J1772
Ace Hotel - Tesla,701 E Palm Canyon Dr,Palm Springs,CA,92264,760-325-9900  877-798-3752,E,,Public,Tesla,33.8008088,-116.539993,68895,P,,,3/1/15,TESLA
Northshire Bookstore,4869 Main Street,Manchester,VT,5255,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,43.1768201,-73.0572148,71158,,,,,J1772
"Walgreens - Shoreline, WA #4759",17518 15th Ave NE,Shoreline,WA,98155,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,47.7562357,-122.3134641,45208,,,,,J1772
Clemson Area Transit,200 West Ln,Clemson,SC,29631,864-654-2287  855-443-3873,E,,Public,,34.702019,-82.8023876,40248,LG,,,6/15/11,J1772
Riser Nissan,4111 Central Ave,Hot Springs,AR,71913,501-525-4511,E,,Public - Call ahead,,34.4539161,-93.0659336,44389,P,,,11/30/11,J1772
Al Serra Chevrolet Volkswagen North,1570 Auto Mall Loop,Colorado Springs,CO,80925,719-867-1000,E,,Public,,38.953666,-104.794699,63372,P,,,7/13/14,J1772
BASIL VW,6179 S Transit Rd,Lockport,NY,14094,888-758-4389,E,,Public,ChargePoint Network,43.122587,-78.695547,71103,,,,,J1772
MDF - Restricted,5005 Lakeview Drive,Miami Beach,FL,33140,888-998-2546,E,,Private,Blink Network,25.826566,-80.12622,74351,,,,,J1772
GE WattStation 4,13538  Sabre Springs Pkwy,San Diego,CA,92128,888-998-2546,E,,Public,GE WattStation,32.9625984,-117.0921177,72862,,,,,J1772
Blackburn Nissan,2195 N Frontage Rd,Vicksburg,MS,39180,601-661-7565,E,,Public - Call ahead,,32.3246382,-90.8656786,45850,P,,,1/31/12,J1772
NATIONAL GRID,T.F. Green Airport Connector Rd,Warwick,RI,2886,888-758-4389,E,,Public,ChargePoint Network,41.7272378,-71.4356087,52824,,,,,J1772
City of Encinitas -Town Hall Overflow Lot,505 S Vulcan Ave,Encinitas,CA,92024,760-633-2600,P,5/1/16,PLANNED - not yet accessible (Public),,33.045052,-117.292178,69981,LG,,,,CHADEMO
Stoneaus Winery - Tesla,2444 Genesis Rd,Crossville,TN,38571,931-484-8461  877-798-3752,E,,Public,Tesla,35.9850479,-85.0103141,75205,P,,,2/1/16,TESLA
Hotel Saint Cecilia - Tesla,112 Academy Dr,Austin,TX,78704,512-582-2400  877-798-3752,E,,Public,Tesla,30.2520199,-97.7470902,68509,P,,,5/1/15,TESLA
IRVINE CO OFC,5451 Great America Pkwy,Santa Clara,CA,95054,888-758-4389,E,,Public,ChargePoint Network,37.4113314,-121.9769273,61995,,,,,J1772
ENTERGY,E St,Baton Rouge,LA,70807,888-758-4389,E,,Public,ChargePoint Network,30.5219905,-91.192825,71459,,,,,NEMA520 J1772
SERVICEBLDG1,185 Beedy St,Oxnard,CA,93036,888-758-4389,E,,Public,ChargePoint Network,34.255384,-119.1568369,72387,,,,,J1772
Tremont Street Garage,400 15th St,Denver,CO,80202,303-534-7559,E,,Public,,39.742113,-104.991416,43833,P,,,2/28/11,NEMA515 J1772
JOHN HANCOCK,5000 Birch St,Newport Beach,CA,92660,888-758-4389,E,,Public,ChargePoint Network,33.6651665,-117.859191,73871,,,,,J1772
LOT 11,833 N Pacific Ave,Santa Ana,CA,92706,888-758-4389,E,,Public,ChargePoint Network,33.7573633,-117.8901425,63164,,,,,J1772
Grapevine Train Depot,705 S. Main St,Grapevine,TX,76051,888-998-2546,E,,Public,Blink Network,32.933991,-97.07718,62367,,,,,J1772
3RD FLOOR,60 W Kinzie St,Chicago,IL,60661,888-758-4389,E,,Public,ChargePoint Network,41.889367,-87.6302287,58326,,,,,J1772
Station J,1900  Prairie City Rd,Folsom,CA,95630,888-998-2546,E,,Private,GE WattStation,38.64417659,-121.1645745,72902,,,,,J1772
Urban Center I,"4830 West Kennedy Blvd., Suite 100",Tampa,FL,33609,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,27.943595,-82.5250048,63402,,,,,J1772
Southern California Edison - Shaver Lake Service Center,42696 Tollhouse Rd,Shaver Lake,CA,93664,,E,,Private,,37.1226609,-119.3147417,27321,T,,,7/15/05,
Sheehy Nissan - Springfield,6727 Loisdale Rd,Springfield,VA,22150,703-922-7900,E,,Private,,38.771228,-77.180533,47572,P,,,1/31/12,J1772
MIDFLORIDA CU,19203 Dale Mabry Hwy N,Lutz,FL,33548,888-758-4389,E,,Public,ChargePoint Network,28.1561489,-82.482666,42117,,,,,NEMA520 J1772
Whole Foods Market,6610 Fairview Rd,Charlotte,NC,28210,980-213-2400,E,,Public,,35.1482226,-80.8304181,52375,P,,,8/12/12,J1772
THOMSON REUTERS,610 Opperman Dr,Eagan,MN,55123,888-758-4389,E,,Public,ChargePoint Network,44.824895,-93.113175,43254,,,,,NEMA520 J1772
EVSP WALGREENS,24930 Western Ave,Los Angeles,CA,90710,888-758-4389,E,,Public,ChargePoint Network,33.7981246,-118.306861,69166,,,,,J1772
Lower Town Parking Ramp,316 Jackson St,St. Paul,MN,55101,651-291-0523,E,,Public - Card key at all times,,44.946967,-93.088294,40047,LG,,,10/17/11,NEMA520 J1772
Exxon - Lehigh Gas Station and Convenience Store,1419 W Main St,Lansdale,PA,19446,215-855-7089,E,,Public,,40.2542481,-75.3046043,49193,P,,,9/30/12,J1772
Bigfoot Museum and Visitor Center,28949 Highway 299,Willow Creek,CA,95573,530-629-2653  855-900-7584,E,,Public,Greenlots,40.940237,-123.632006,72365,P,,,3/15/16,J1772
CARL'S JR.,1868 Fort Jones Rd,Yreka,CA,96097,888-758-4389,E,,Public,ChargePoint Network,41.7020539,-122.6452761,70681,,,,,J1772COMBO
UCLA - Parking Structure 9 - 4th Floor,675 Charles E Young Dr N,Los Angeles,CA,90095,,E,,Private,,34.0727134,-118.4495196,60114,SG,,,1/1/14,NEMA515
Los Angeles County Sheriff  - San Dimas Station,270 S Walnut Ave,San Dimas ,CA,91773,323-267-2023,E,,Public,,34.1048341,-117.8020749,63062,LG,,,8/1/14,J1772
Walmart #2098 - Columbus OH,3900 Morse Rd,Columbus,OH,43219,888-998-2546,E,,Public,Blink Network,40.0578806,-82.9142159,41990,,,,,J1772
Selby Library,1331 1st St,Sarasota,FL,34236,941-365-5228,E,,Public,,27.3376639,-82.5431309,63958,LG,,,10/1/12,J1772
Whole Foods Market,415 Centre St,Jamaica Plain,MA,2130,855-443-3873,E,,Public,,42.3210691,-71.1105151,46860,P,,,10/10/11,J1772
BMW TRI-CITIES,1201-1299 Aaron Dr,Richland,WA,99352,888-758-4389,E,,Public,ChargePoint Network,46.2601764,-119.2808141,61930,,,,,J1772
AT&T 2 Plano,701  N Central Expy,Plano,TX,75075,888-998-2546,E,,Public,GE WattStation,33.00959922,-96.70882168,72892,,,,,J1772
10 St. James Avenue Garage,10 St. James Avenue,Boston,MA,2116,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,42.3503774,-71.0709538,73657,,,,,J1772
GE Digital 4 Greg (QR 0001081),2623  Camino Ramon,San Ramon,CA,94583,888-998-2546,E,,Private,GE WattStation,37.76707158,-121.9575923,72813,,,,,J1772
Columbia Nissan,700 7th Ave,Longview,WA,98632,360-423-4321,E,,Private,,46.125628,-122.928321,44145,P,,,3/15/11,J1772
Bruce Bennett Nissan,978 Danbury Rd,Wilton,CT,6897,203-544-8371,E,,Public - Call ahead,,41.26043,-73.435421,44464,P,,,11/30/11,J1772 CHADEMO
Carl's Jr - 9002 Firestone,9002 Firestone,Downey,CA,90241,888-998-2546,E,,Public,Blink Network,33.93519,-118.12389,51505,,,,,J1772
"Intuit - Mountain View Campus, Building 4",2500 Garcia Ave.,Mountain View,CA,94043,888-998-2546,E,,Public,Blink Network,37.428388,-122.095922,50151,,,,,CHADEMO
Caltrans District 10 Shop 10 Facility,1603 S B St,Stockton,CA,95206,,P,1/15/16,PLANNED - not yet accessible (Private),,37.940483,-121.258099,71445,SG,,,,J1772
NewBo City Market,1100 3rd St SE,Cedar Rapids,IA,52401,319-200-4050,E,,Public,,41.9709571,-91.6585973,68584,P,,,1/1/15,J1772
PLAYA VISTA,12035 E Waterfront Dr,Los Angeles,CA,90094,888-758-4389,E,,Public,ChargePoint Network,33.982689,-118.4055036,71948,,,,,J1772
BMW WOODLANDS,17830 Interstate 45 S,Conroe,TX,77384,888-758-4389,E,,Public,ChargePoint Network,30.1987739,-95.4563901,61016,,,,,J1772
BMW LAS VEGAS,6900 W Sahara Ave,Las Vegas,NV,89117,888-758-4389,E,,Public,ChargePoint Network,36.1445285,-115.2444625,62328,,,,,J1772
Pitkin County,76 Service Center Rd,Aspen,CO,81611,970-920-5390,E,,Public,,39.224971,-106.864903,73515,LG,,,11/1/15,J1772
DoubleTree by Hilton - Tesla,210 Holiday Ct,Annapolis,MD,21401,410-224-3150  877-798-3752,E,,Public,Tesla,38.98259,-76.5474058,75233,P,,,2/1/16,TESLA
Ventanas,275 Baker Street,Atlanta,GA,30313,888-998-2546,E,,Public,Blink Network,33.761432,-84.3968,55637,,,,,J1772
The Louis,1920 14th Street NW,Washington,DC,20009,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,38.9163243,-77.0323174,67104,,,,,J1772
Bridgewater Nissan,1400 Route 22,Bridgewater,NJ,8807,908-722-3600,E,,Public - Call ahead,,40.575128,-74.5672844,49900,P,,,10/25/12,J1772
KRC-PYB,10210 NE Points Dr,Kirkland,WA,98033,888-758-4389,E,,Public,ChargePoint Network,47.6434463,-122.2039041,52267,,,,,J1772
Premium Outlet Vineland,8200 Vineland Ave,Orlando,FL,32821,877-455-3833,E,,Public - Card key at all times,eVgo Network,28.38892365,-81.4905777,70943,,,,,J1772COMBO
BSMG,Julian Carr St,Durham,NC,27701,888-758-4389,E,,Public,ChargePoint Network,35.9926581,-78.9059994,66697,,,,,J1772
BEAM CHARGING,1510 Lexington Ave,Manhattan,NY,10029,888-758-4389,E,,Public,ChargePoint Network,40.7869415,-73.9505157,41247,,,,,NEMA520 J1772
The Ritz-Carlton - Tesla,15000 N Secret Springs Dr,Marana,AZ,85658,520-572-3000  877-798-3752,E,,Public,Tesla,32.478848,-111.0890017,72235,P,,,12/1/15,TESLA
Tampa Bay Regional Planning Council,4000 Gateway Centre Blvd,Pinellas Park,FL,33782,727-570-5151,E,,Public,,27.85063,-82.688497,44468,T,,,2/29/12,J1772
Inn at Herr Ridge - Tesla,900 Chambersburg Rd,Gettysburg,PA,17325,717-334-4332  877-798-3752,E,,Public,Tesla,39.8423436,-77.2618187,75193,P,,,1/1/16,TESLA
Bill Rapp Pontiac,3446 Burnet Ave,Syracuse,NY,13206,315-437-2501,E,,Public - Call ahead,,43.0611748,-76.0886462,44199,P,,,11/30/11,J1772
Big Boy,600 N Cedar St,Mason,MI,48854,517-676-4401,E,,Public,,42.589586,-84.457444,50848,P,,,9/14/12,J1772
DC SOLAR,331 E Channel Rd,Benicia,CA,94510,888-758-4389,E,,Public,ChargePoint Network,38.074688,-122.133845,74998,,,,,J1772
Chapman Davis Parking Lot,220 Main St,Greenfield,MA,1301,413-772-1412,E,,Public,,42.5879281,-72.6024216,52053,P,,,1/1/13,J1772
Town of Morrisville - Police Department,260 Town Hall Dr,Morrisville,NC,27560,919-463-7070,E,,Public,,35.822984,-78.82931,49876,T,,,12/21/12,J1772
Emerald Square Mall,999 S Washington Street North,Attleborough,MA,2760,877-455-3833,E,,Public - Card key at all times,eVgo Network,41.94620132,-71.35047913,71867,,,,,J1772COMBO
Three Rivers Market,1100 N Central Street,Knoxville,TN,37917,888-998-2546,E,,Public,Blink Network,35.981266,-83.928215,45083,,,,,J1772
Best Western,1403 N Highway 281,Marble Falls,TX,78654,830-693-5122,E,,Public,,30.58339,-98.2723479,68886,P,,,7/1/15,NEMA1450
Village of Pinehurst,Village Green Rd W,Pinehurst,NC,28374,910-295-1900,E,,Public,,35.19281,-79.4683561,49877,T,,,10/9/12,J1772
Bob Stall Chevrolet,7601 Alvarado Road,La Mesa,CA,91941,888-998-2546,E,,Public,Blink Network,32.773077,-117.03373,51777,,,,,J1772
Ricker's ,5061 E Washington St,Indianapolis,IN,46201,317-351-1944  855-900-7584,E,,Public,Greenlots,39.769726,-86.08375,64764,P,,,3/13/15,CHADEMO J1772COMBO
HOLLAND BPW,93 EAST 7th St,Holland,MI,49423,888-758-4389,E,,Public,ChargePoint Network,42.7914848,-86.103302,41014,,,,,NEMA520 J1772
BMW JUPITER,1555 W Indiantown Rd,Jupiter,FL,33478,888-758-4389,E,,Public,ChargePoint Network,26.9345903,-80.1227758,60915,,,,,J1772
EVESHAM LEED,2401 E Evesham Rd,Voorhees Township,NJ,8043,888-758-4389,E,,Public,ChargePoint Network,39.8655548,-74.9537735,38821,,,,,NEMA520 J1772
Quechee Antique Mall,5573 E Woodstock RD,Hartford,VT,5091,877-455-3833,E,,Public - Card key at all times,eVgo Network,43.63800812,-72.39771271,70100,,,,,J1772
Nissan of Marian,3209 Banterra Dr,Marion,IL,62959,618-993-5000,E,,Private,,37.7465184,-88.9846386,47204,P,,,1/31/12,J1772
PGA National Resort & Spa,400 Ave of the Champions,Palm Beach Gardens,FL,33418,800-863-2819,E,,Public,,26.83002,-80.141288,53083,P,,,10/7/13,J1772 CHADEMO
Thousand Oaks Municipal Service Center,1993 Rancho Conejo Boulevard,Thousand Oaks,CA,91320,888-998-2546,E,,Public,Blink Network,34.206695,-118.935616,64087,,,,,J1772
Red River Nissan,2010 US Highway 75 N,Denison,TX,75020,903-463-9800,E,,Public - Call ahead,,33.775328,-96.58308,39719,P,,,3/15/11,J1772
WINTER PARK,121 Garfield Ave,Winter Park,FL,32789,888-758-4389,E,,Public,ChargePoint Network,28.5994875,-81.3517063,42141,,,,,J1772
Caltrans District 7,902 San Gabriel Blvd,Rosemead,CA,90170,,E,,Private,,34.0400684,-118.0809834,71890,SG,,,11/1/15,J1772
Green Mountain College - Dunton Hall,1 Brennan Cir,Poultney,VT,5764,800-776-6675,E,,Public,,43.51655,-73.2402089,52555,P,,,6/1/13,J1772
Homewood Suites,5 Dorset St.,Burlington,VT,5403,877-455-3833,E,,Public - Card key at all times,eVgo Network,44.46927261,-73.18214417,69280,,,,,J1772
Mall at Rockingham Park,99 Rockingham Park Blvd,Salem,NH,3079,877-455-3833,E,,Public - Card key at all times,eVgo Network,42.7688179,-71.23082733,71865,,,,,J1772COMBO
NATIONAL GRID,30 Major Taylor Blvd,Worcester,MA,1608,888-758-4389,E,,Public,ChargePoint Network,42.2672936,-71.7976652,43185,,,,,J1772
Newington Electric,72 Pane Rd,Newington,CT,6111,860-667-1948,E,,Public,,41.6547896,-72.7291156,61757,P,,,3/1/14,J1772
NIPSCO,1313 167th St,Hammond,IN,46320,888-758-4389,E,,Public,ChargePoint Network,41.5924998,-87.4966647,53416,,,,,J1772
Kapiolani Medical Center,1319 Punahou St,Honolulu,HI,96826,808-983-6000,E,,Public,,21.2999869,-157.8337073,61235,P,,,8/8/13,J1772
"Walgreens - Lehi, UT #9681",102 N 1200 E,Lehi,UT,84043,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,40.389223,-111.826161,43383,,,,,J1772
"Walgreens - N. Lincoln Ave, Chicago",5158 N. Lincoln Ave.,Chicago,IL,60625,877-455-3833,E,,Public - Card key at all times,eVgo Network,41.97493744,-87.6929245,71137,,,,,CHADEMO
1801 Rockville Pike,1801 Rockville Pike,Rockville,MD,20852,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,39.0595955,-77.1229774,62577,,,,,J1772
City of Columbia - Cannon Garage,1100 Taylor St,Columbia,SC,29201,803-545-4015,E,,Public,,34.0060697,-81.0377099,38298,LG,,,3/15/11,J1772
2021 E 5TH ST,2110 E 4th St,Austin,TX,78702,888-758-4389,E,,Public,ChargePoint Network,30.2587557,-97.720097,72491,,,,,J1772
McDonald's #24982 - Contra Costa Blvd - Pleasant Hill CA,1690 Contra Costa Blvd.,Pleasant Hill,CA,94523,888-998-2546,E,,Public,Blink Network,37.95348,-122.059919,71126,,,,,J1772
Whole Foods - Northbrook,840 Willow Rd.,Northbrook,IL,60062,877-455-3833,E,,Public - Card key at all times,eVgo Network,42.10703278,-87.80077362,70370,,,,,CHADEMO
Safford's Bay View Inn,2011 Woodland Ave,Petoskey,MI,49770,231-347-2771  877-798-3752,E,,Public,Tesla,45.3862407,-84.9277414,71702,P,,,11/1/15,TESLA J1772
Bel Air Nissan,1506 Bel Air Rd,Bel Air,MD,21014,410-879-1133,E,,Public - Call ahead,,39.5065475,-76.3817272,40018,P,,,3/15/11,J1772
WALSH COLLEGE T,3838 Livernois Rd,Troy,MI,48083,888-758-4389,E,,Public,ChargePoint Network,42.5738721,-83.1465222,41839,,,,,NEMA520 J1772
S SAN FRANCISCO,450 E Grand Ave,South San Francisco,CA,94080,888-758-4389,E,,Public,ChargePoint Network,37.6520344,-122.3819825,64780,,,,,J1772
PreFlight Airport Parking,4000 Global Gateway Connector,College Park,GA,30337,404-767-8000,E,,Public,,33.645031,-84.465875,52110,P,,,5/1/13,NEMA520
Quik Park - Tesla,600 W 42nd St,New York,NY,10036,212-564-0410  877-798-3752,E,,Public,Tesla,40.7607168,-73.9988815,74407,P,,,1/1/16,TESLA
UDR-HQ,1745 Shea Center Dr,Highlands Ranch,CO,80129,888-758-4389,E,,Public,ChargePoint Network,39.5548754,-105.0093372,74318,,,,,J1772
MSY2,6420  Yorktown Cir,East Syracuse,NY,13057,888-998-2546,E,,Public,GE WattStation,43.090761,-76.088154,73010,,,,,J1772
